CompanyID,CompanyName,Idea,Sector,SubSector,BusinessModel,FundingStage,FundingRaisedUSD_millions,MonthlyRevenueUSD_thousands,MonthlyBurnUSD_thousands,MonthlyGrowthPercent,TeamSize,FoundersAvgExperienceYears,MarketSizeUSD_billions,TAMGrowthPercent,ProductDifferentiationScore,CompetitiveMoatScore,RegulatoryRiskScore,LocationCountry,RiskScore
1,OmicronAnalytics,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,B2C Subscription,Pre-Seed,10.99,43.09,84.09,35.23,6,2.8,38.31,5.96,2,9,2,Netherlands,48.11
2,AlphaLabs,Network Security solution in the Cybersecurity space,Cybersecurity,Network Security,B2C Subscription,Pre-Seed,4.85,0,47.52,28.16,7,1,11.2,9.9,10,1,9,Germany,64.36
3,LambdaFoods,Supply Chain solution in the Agritech space,Agritech,Supply Chain,Hybrid,Seed,4.57,147.37,191.4,13.64,19,2.9,182.05,5.36,1,3,7,Singapore,70.78
4,ThetaBiotech,D2C solution in the E-commerce space,E-commerce,D2C,B2B SaaS,Pre-Seed,7.36,0,54.6,47.78,9,6.4,66.42,7.05,2,6,6,Netherlands,57.06
5,PioneerCloud,Marketplace solution in the E-commerce space,E-commerce,Marketplace,B2B SaaS,Series C,101.39,973.09,1100.37,6.19,252,7.2,146.34,12.03,7,2,9,Canada,67.3
6,CoreNetworks,Game Engines solution in the Gaming space,Gaming,Game Engines,Freemium SaaS,Pre-Seed,15.03,39.64,16.39,4.92,7,6.2,143.22,11.89,4,5,2,Germany,50.36
7,OmicronFoods,Biotech solution in the HealthTech space,HealthTech,Biotech,Freemium SaaS,Series B,180.61,616.91,908.91,5.8,118,3.2,102.7,13.8,3,6,6,Germany,69.28
8,SparkSolutions,Marketplace solution in the E-commerce space,E-commerce,Marketplace,Hybrid,Series A,46.25,273.28,253.18,7.11,37,7.5,33.92,14.09,3,8,7,Canada,56.16
9,NovaHealth,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,B2C Subscription,Series B,81.55,657.91,802.35,18.15,109,8.7,179.43,6.13,6,7,5,India,51.49
10,ThetaGaming,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Hardware,Series B,62.83,587.17,686.21,27.74,134,5.4,103.13,7.43,8,3,5,UK,54.65
11,CoreFinance,Battery Storage solution in the CleanTech space,CleanTech,Battery Storage,Hybrid,Seed,5.38,85.54,125.29,18.34,17,2.1,194.41,14.51,4,3,9,Brazil,70.28
12,DeltaDynamics,Telemedicine solution in the HealthTech space,HealthTech,Telemedicine,Freemium SaaS,Pre-Seed,22.72,49.07,0,9.27,4,2,181.84,5.11,7,10,2,Australia,41.07
13,OrbitAI,OT Security solution in the Cybersecurity space,Cybersecurity,OT Security,Hybrid,Series B,53.1,541.57,707.03,22.52,111,8.8,127.44,8.97,1,2,9,Canada,74.61
14,SigmaFinance,Vision solution in the AI/ML space,AI/ML,Vision,B2C Subscription,Seed,2.41,50.47,32.25,21,22,3,103.39,4.94,5,9,3,Israel,45.65
15,OrbitMobility,Wearables solution in the HealthTech space,HealthTech,Wearables,B2C Subscription,Pre-Seed,3.16,73.68,42.44,35.5,9,0.8,20.43,13.66,3,9,9,USA,60.85
16,NimbusTech,Game Engines solution in the Gaming space,Gaming,Game Engines,B2B SaaS,Series B,63.29,612.99,774.68,2.63,127,3.4,177.64,12.14,5,4,1,Germany,55.54
17,GammaGaming,Mobile Games solution in the Gaming space,Gaming,Mobile Games,B2B SaaS,Series C,31.69,1011.61,1228.59,7.86,252,3.6,143.01,5.08,9,3,3,Brazil,56.02
18,OmicronEdu,Vertical Farming solution in the Agritech space,Agritech,Vertical Farming,Hybrid,Seed,12.49,157.93,148.48,29.63,22,4.8,20.55,6.78,4,9,4,Canada,46.94
19,PioneerEdu,Cloud Security solution in the Cybersecurity space,Cybersecurity,Cloud Security,Hardware,Pre-Seed,3.63,9.21,7.2,23.41,9,1.9,188.21,14.4,4,2,6,USA,64.23
